"country_name (S)","date (S)","cancel_public_events (S)","cancel_public_events_notes (NULL)","close_public_transit (S)","close_public_transit_notes (NULL)","confirmed_cases (N)","contact_tracing (S)","contact_tracing_notes (NULL)","international_travel_controls (N)","international_travel_controls_notes (NULL)","region_name (NULL)","restrictions_on_gatherings (S)","restrictions_on_gatherings_notes (NULL)","school_closing_notes (NULL)","stay_at_home_requirements (S)","stay_at_home_requirements_notes (NULL)","workplace_closing (S)","workplace_closing_notes (NULL)"
"China","2020-03-17","2.00","true","2.00","true","80884","2.00","true","3226","true","true","4.00","true","true","3.00","true","3.00","90% people return to work except Hubei https://baijiahao.baidu.com/s?id=1661379902772644058&wfr=spider&for=pc"
"China","2020-03-18","2.00","true","2.00","true","80906","2.00","true","3237","true","true","4.00","true","true","3.00","true","3.00","true"
"China","2020-03-19","2.00","different cities have different time http://www.gov.cn/xinwen/2020-01/29/content_5472946.htmhttp://www.gov.cn/xinwen/2020-02/02/content_5473879.htm    Beijing and Shanghai come out of lockdown on Wednesday 25th. https://blooloop.com/news/china-coronavirus-lockdown-lifted-hubei/, https://www.ft.com/content/96eba8ff-3b99-4e71-8df4-7e4ea70c6869  ","2.00","Public transport closed in Wuhan: https://www.theguardian.com/world/2020/mar/19/chinas-coronavirus-lockdown-strategy-brutal-but-effective","80931","2.00","true","3245","true","true","4.00","true","true","3.00","true","3.00","Some provinces in china had restrictions eased after the 25th. https://www.stuff.co.nz/world/asia/120581983/china-further-eases-restrictions-that-kept-millions-at-home-in-coronavirus-epicentre"
"China","2020-03-20","2.00","true","2.00","true","80977","2.00","true","3249","true","true","4.00","true","true","3.00","true","3.00","true"
"China","2020-03-21","2.00","true","2.00","true","81014","2.00","true","3255","true","true","4.00","true","true","3.00","true","3.00","true"
"China","2020-03-22","2.00","true","2.00","true","81094","2.00","true","3270","true","true","4.00","true","true","3.00","Wuhan municipal bureau of commerce announced  on 20 March that grocery outlets in residential communities and villages without existing confirmed or suspected COVID-19 cases can resume business.  Each household can send one person a day to go shopping daily necessities with a one-time pass certificate or an electronic health code.  Each shopping trip will be limited to within two hours.  Source: https://web.archive.org/web/20200511062600/http://www.xinhuanet.com/english/2020-03/24/c_138912540.htm ; https://web.archive.org/web/20200511063916/http://www.gov.cn/xinwen/2020-03/21/content_5493803.htm","3.00","true"
"China","2020-03-23","2.00","true","2.00","true","81118","2.00","true","3270","true","true","4.00","true","true","3.00","true","3.00","true"
"China","2020-03-24","2.00","true","2.00","true","81180","2.00","true","3277","true","true","4.00","true","true","3.00","true","3.00","true"
"China","2020-03-25","2.00","true","2.00","true","81221","2.00","true","3281","true","true","4.00","true","true","3.00","true","3.00","true"
"China","2020-03-26","2.00","true","2.00","true","81298","2.00","true","3287","""Worried that international travelers might trigger a second wave of coronavirus infections, China announced late Thursday night that it was suspending practically all entry to the country by foreigners and was halting almost all international passenger flights as well."" https://web.archive.org/web/20200326195009/https://www.nytimes.com/2020/03/26/world/asia/china-virus-travel-ban.html","true","4.00","true","true","3.00","true","3.00","""The central Chinese city of Wuhan, hit hard by the coronavirus outbreak, reopens commercial outlets to residents in an orderly manner. Commercial outlets in residential communities and villages without existing confirmed or suspected COVID-19 cases can resume business, according to the Wuhan municipal bureau of commerce.""     https://web.archive.org/save/http://www.xinhuanet.com/english/2020-03/24/c_138912540.htm"
"China","2020-03-27","2.00","true","2.00","true","81345","2.00","true","3292","true","true","4.00","true","true","3.00","true","3.00","true"
"China","2020-03-28","2.00","true","0.00","Public transport restrictions lifted from Saturday 28th: https://www.reuters.com/article/us-health-coronavirus-wuhan/chinas-wuhan-where-the-coronavirus-emerged-begins-to-lift-its-lockdown-idUSKBN21F0B9","81401","2.00","true","3295","true","true","4.00","true","true","3.00","true","3.00","true"
"China","2020-03-29","2.00","true","0.00","true","81444","2.00","true","3300","true","true","4.00","true","true","3.00","true","3.00","true"
"China","2020-03-30","2.00","true","0.00","true","81478","2.00","true","3304","true","true","4.00","true","true","3.00","true","3.00","true"
"China","2020-03-31","2.00","true","0.00","""Wuhan, the central Chinese city once at the epicenter of the COVID-19 outbreak, has reopened more bus routes on March 29, as the city gets its public transportation system back on track.    The city with a population of some 11 million has added 36 bus routes in the downtown area, bringing the total number to 180, while other districts are allowed to resume bus routes gradually starting from March 29, according to the local transport authority."" https://web.archive.org/web/20200407060749/http://english.www.gov.cn/news/topnews/202003/29/content_WS5e803509c6d0c201c2cbfbb8.html","81524","2.00","true","3305","true","true","4.00","true","true","3.00","true","3.00","true"
"China","2020-04-01","2.00","true","0.00","true","81555","2.00","true","3312","true","true","4.00","true","true","3.00","true","3.00","true"
"China","2020-04-02","2.00","true","0.00","true","81589","2.00","true","3318","true","true","4.00","true","true","3.00","true","3.00","true"
"China","2020-04-03","2.00","true","0.00","true","81623","2.00","true","3322","true","true","4.00","true","true","3.00","true","2.00","""In accordance with the needs of resumption of production, resumption of production and resumption of market, each district can make appropriate adjustments to the sites that used physical isolation during the period when the community was closed."" https://web.archive.org/web/20200407223314/http://www.wh.gov.cn/hbgovinfo/zwgk_8265/tzgg/202004/t20200403_308397.html"
"China","2020-04-04","2.00","The Ministry of Civil Affairs issued a statement saying that ""local governments may suspend Tomb-sweeping day [April 4, 2020] activities, in accordance with the local epidemic control situation"" (source: https://web.archive.org/web/20200407055921/http://english.www.gov.cn/statecouncil/ministries/202003/24/content_WS5e793fdbc6d0c201c2cbf448.html).    At the local level, many cities (like Shantou and Shenzhen among others in Guandong province) have issued guidance telling people not to attend on-site Tomb-sweeping activities and suggested online/remote services instead.  (http://news.sina.com.cn/c/2020-03-16/doc-iimxxstf9427472.shtml)","0.00","true","81638","2.00","true","3326","true","true","4.00","true","true","3.00","true","2.00","true"
"China","2020-04-05","2.00","true","0.00","true","81668","2.00","true","3329","true","true","4.00","true","true","3.00","true","2.00","true"
"China","2020-04-06","2.00","true","0.00","true","81707","2.00","true","3331","true","true","4.00","true","true","3.00","true","2.00","true"
"China","2020-04-07","2.00","true","0.00","""Public buses and the subway system have restarted, although they often seem to have few passengers."" https://web.archive.org/web/20200407162009/https://www.nytimes.com/2020/04/07/world/asia/wuhan-coronavirus.html","81739","2.00","true","3331","true","true","4.00","With effect from 8 April, Wuhan will lift lock down measures. Residents are requested not to leave their neighbourhoods unless absolutely necessary, and not to participate in any gatherings.  Source: https://web.archive.org/web/20200430211240/http://www.wuhan.gov.cn/zwgk/tzgg/202004/t20200414_999364.shtml","""Local schools in Shanghai that have been closed in an effort to contain the spread of the new coronavirus will reopen starting April 27, the director of the city’s education commission said on Thursday.""  https://web.archive.org/web/20200409162352/https://www.reuters.com/article/us-health-coronavirus-china-shanghai/shanghai-set-to-reopen-schools-after-coronavirus-closures-idUSKCN21R0PP      ""Shanghai, most of China to reopen schools by end of April, Beijing and Hubei yet to decide""  https://web.archive.org/web/20200409162313/https://news.cgtn.com/news/2020-04-09/Shanghai-most-of-China-reopen-schools-by-end-of-April-Pyp87FuTpm/index.html","3.00","true","2.00","true"
"China","2020-04-08","2.00","Wuhan lockdown ended on April 8, and on that same day the Hubei provincial government published an article saying it was still “necessary for every citizen to actively cooperate and self-discipline, not to gather or get together"".  Source:   http://www.hubei.gov.cn/zhuanti/2020/gzxxgzbd/kp/202004/t20200408_2207424.shtml (archived: https://web.archive.org/web/20200418192053/http://www.hubei.gov.cn/zhuanti/2020/gzxxgzbd/kp/202004/t20200408_2207424.shtml)","0.00","true","81804","2.00","true","3333","""It also announced it would indefinitely extend its ban on foreigners entering or transiting."" https://web.archive.org/web/20200407045455/https://www.theguardian.com/world/2020/apr/07/china-reports-zero-daily-deaths-from-coronavirus-for-the-first-time-since-january","true","4.00","Wuhan lockdown ended on April 8, and on that same day the Hubei provincial government published an article saying it was still “necessary for every citizen to actively cooperate and self-discipline, not to gather or get together"".  Source:   http://www.hubei.gov.cn/zhuanti/2020/gzxxgzbd/kp/202004/t20200408_2207424.shtml (archived: https://web.archive.org/web/20200418192053/http://www.hubei.gov.cn/zhuanti/2020/gzxxgzbd/kp/202004/t20200408_2207424.shtml)","true","1.00","Residents are advised not to leave their neighbourhoods unless absolutely necessary after the lifting of lockdown on 8 April.  Source: https://web.archive.org/web/20200430211240/http://www.wuhan.gov.cn/zwgk/tzgg/202004/t20200414_999364.shtml","2.00","With effect from 8 April, Wuhan lifts lock down measures to resume daily life and production in an orderly manner.  Cinemas, theatres and entertainment venues remain closed.  Source: https://web.archive.org/web/20200430211240/http://www.wuhan.gov.cn/zwgk/tzgg/202004/t20200414_999364.shtml"
"China","2020-04-09","2.00","true","0.00","true","81865","2.00","true","3335","true","true","4.00","true","true","1.00","true","2.00","true"
